,Event Event ID,Event Event Name,Event Is Archived (Yes / No),Event Start Date,Event End Date,Event Event URL (Backend Link),Event Homepage URL
66,208660,Lifebook Seminars at Mindvalley U,No,2018-07-03,2018-07-06,https://accounts.bizzabo.com/129966/events/208660,https://events.bizzabo.com/208660
67,209355,10x Fitness Program,No,2018-06-29,2018-07-22,https://accounts.bizzabo.com/129966/events/209355,https://events.bizzabo.com/209355
68,205143,Mindvalley U,Yes,2018-06-28,2018-07-22,https://accounts.bizzabo.com/129966/events/205143,https://events.bizzabo.com/205143
69,207576,Speaking Academy with Eric Edmeades,No,2018-06-26,2018-06-30,https://accounts.bizzabo.com/129966/events/207576,https://events.bizzabo.com/207576
70,206201,A-Fest 2018 Sardinia,No,2018-05-30,2018-06-04,https://accounts.bizzabo.com/129966/events/206201,https://events.bizzabo.com/206201
71,206157,Mindvalley Reunion 2018,No,2018-02-23,2018-02-26,https://accounts.bizzabo.com/129966/events/206157,http://www.mindvalleyacademy.com/reunion-2018
72,206772,A-Report + Social December 7th,No,2017-12-07,2017-12-28,https://accounts.bizzabo.com/129966/events/206772,https://events.bizzabo.com/areportdecember7
73,203692,A-FEST 2017 WEST,No,2017-11-08,2017-11-13,https://accounts.bizzabo.com/129966/events/203692,https://events.bizzabo.com/203692
74,204601,Mindvalley Reunion,No,2017-08-18,2017-08-21,https://accounts.bizzabo.com/129966/events/204601,http://www.mindvalleyacademy.com/reunion
75,204708,Extraordinary Mind with Vishen Lakhiani,No,2017-06-25,2017-06-25,https://accounts.bizzabo.com/129966/events/204708,https://events.bizzabo.com/204708
76,204130,Marisa Peer Live in Barcelona,No,2017-06-24,2017-06-24,https://accounts.bizzabo.com/129966/events/204130,http://www.mindvalleyacademy.com/marisa-peer-live
77,204139,Becoming Superhuman with Wim Hof,No,2017-06-23,2017-06-23,https://accounts.bizzabo.com/129966/events/204139,http://www.mindvalleyacademy.com/wim-hof
78,203535,Awaken the Species with Neale Donald Walsch,No,2017-06-16,2017-06-18,https://accounts.bizzabo.com/129966/events/203535,
79,204129,The Lifebook Seminar,No,2017-06-08,2017-06-11,https://accounts.bizzabo.com/129966/events/204129,
80,204128,Business Freedom Speaking with Eric Edmeades,No,2017-06-01,2017-06-05,https://accounts.bizzabo.com/129966/events/204128,http://www.mindvalleyacademy.com/business-freedom-speaking-academy
81,202970,10X Your Fitness in 30 Days,No,2017-05-28,2017-06-25,https://accounts.bizzabo.com/129966/events/202970,
82,203593,mindvalley u.,No,2017-05-27,2017-06-25,https://accounts.bizzabo.com/129966/events/203593,https://events.bizzabo.com/203593
83,203357,A-FEST 2017 EUROPE,No,2017-05-16,2017-05-22,https://accounts.bizzabo.com/129966/events/203357,https://events.bizzabo.com/203357
84,203905,Public Speaking with Eric Edmeades ,No,2017-05-15,2017-05-15,https://accounts.bizzabo.com/129966/events/203905,https://events.bizzabo.com/203905
85,203854,Lifebook Quest Reunion,No,2017-03-12,2017-03-12,https://accounts.bizzabo.com/129966/events/203854,
86,203191,Evercoach Summit 2017,No,2016-12-03,2016-12-05,https://accounts.bizzabo.com/129966/events/203191,https://events.bizzabo.com/evercoach
